question,opt1,opt2,opt3,opt4,opt5,opt6,options,answer_text,answer_letter,topic
"According to politeness theory, a request's ""weightiness"" is determined by several factors. What is not explicitly included in these factors?",The urgency of the request,The power relationship between the requester and recipient,The social distance between the requester and recipient,The degree of imposition of the request,,,4,The urgency of the request,A.,Pragmatics
"Consider the following exchange between Pam and Ana: Pam: ""Are you nervous about your talk?"" Ana: ""I think I have a rock in my shoe."" Which of the following maxims does Ana's response violate,if any?",Relation,Qualitiy,Quantity,Manner,No maxims are violated,,5,Relation,A.,Pragmatics
"Grice argued that many meanings are implicit, but that communication succeeds because:",Speakers and comprehenders each assume the other is being cooperative.,Speakers and comprehenders engage in rapid turn-taking.,Comprehenders perform rich simulations of the linguistic input they receive.,"Speakers prefer to use a single signal (e.g., ""ba"") to express every meaning they'd like to convey.",Comprehenders prefer a distinct signal for every possible meaning.,,5,Speakers and comprehenders each assume the other is being cooperative.,A.,Pragmatics
"(T/F) According to Trott & Bergen (2018; 2020), a comprehender's decision of whether a speaker is making a request depends in part on the speaker's knowledge of whether or not there is an obstacle to fulfilling the request.",TRUE,FALSE,,,,,2,TRUE,A.,Pragmatics
Which of the following is an example of scalar implicature?,"Inferring that a movie critic's review of a movie as ""adequate"" implies that they didn't love the movie.","Inferring that the response ""I have to study for an exam"" is a rejection to a proposed offer to hang out, because it violates a Gricean maxim.",Inferring that a speaker is uncooperative because they have said something untrue.,Inferring that the order in which events are described corresponds to the order in which they happened.,,,5,"Inferring that a movie critic's review of a movie as ""adequate"" implies that they didn't love the movie.",A.,Pragmatics
"Which of the following pieces of evidence, if true, would be most inconsistent with politeness theory's predictions about requests?","Very indirect requests (e.g., ""I don't have a ride to the airport"") are more likely to be perceived as rude.","Very indirect requests (e.g., ""I don't have a ride to the airport"") are more likely to be produced by an employee to their boss than vice versa.","Very indirect requests (e.g., ""I don't have a ride to the airport"") are more likely to be produced when the degree of imposition is very large.","Very indirect requests (e.g., ""I don't have a ride to the airport"") are equally likely to be produced in urgent as non-urgent situations.","Very indirect requests (e.g., ""I don't have a ride to the airport"") are more likely to be understood as requests when produced by a distant stranger than a close friend.",,5,"Very indirect requests (e.g., ""I don't have a ride to the airport"") are more likely to be perceived as rude.",A.,Pragmatics
"According to Kelly (1999), nonverbal cues like gesture and eye gaze help signal:",That the speaker is making a request (but not necessarily what the speaker wants).,What the speaker wants (but not necessarily that they're making a request).,"That the speaker is making a request, and what they want.",These cues do not provide additional information beyond the content of speech.,,,4,That the speaker is making a request (but not necessarily what the speaker wants).,A.,Pragmatics
Suppose that a monolingual Aymara speaker is referring to an event that happened five years ago. How would you expect them to gesture while describing this event?,They would likely gesture towards the space in front of them.,They would likely gesture towards the space behind them.,They would likely gesture towards the space above them.,They would likely gesture towards the space below them.,They are unlikely to gesture at all.,,5,They would likely gesture towards the space in front of them.,A.,Metaphor
Conceptual metaphor theory is argued by some to offer a solution to:,The problem of abstract concepts,The power relationship between the requester and recipient,The word segmentation problem,The poverty of the stimulus,"The minimal gap, minimal overlap paradox",The illusory transparency of intention ,6,The problem of abstract concepts,A.,Metaphor
Speakers of Dutch and Farsi differ in the metaphors they use to talk about pitch.,TRUE,FALSE,,,,,2,TRUE,A.,Metaphor
"Speakers of Dutch and Farsi both think about pitch in terms of height, as shown by interference tasks.",FALSE,TRUE,,,,,2,FALSE,A.,Metaphor
"Consider the following sentences about the mind: ""My mind is so empty today""; ""My head is full of thoughts""; ""I'm bursting with ideas"". What metaphor system is operating here?",Source = Container; Target = Mind,Source = Mind; Target = Container,Source = Resource; Target = Mind,Source = Mind; Target = Resource,There is no metaphor system,,5,Source = Container; Target = Mind,A.,Metaphor
Which of the following statements best characterizes cross-linguistic differences in spatial metaphors for time?,"All known languages use spatial metaphors for time, but they map the past/future onto different axes.","All known languages use spatial metaphors for time, with the future corresponding to ""the front"" and the past corresponding to ""behind"".",There are many languages that don't use spatial metaphors for time at all.,All known languages use only the sagittal spatial axis (front/back) for describing time.,"Although languages vary in how they talk about time, speakers of those languages all seem to think about time the same way.",Variability in spatial metaphors for time is uncorrelated with variability in writing directions.,6,"All known languages use spatial metaphors for time, but they map the past/future onto different axes.",A.,Metaphor
"Suppose we ran a conceptual replication of Boroditsky et al (2010) on Hebrew speakers, who describe the past as ""to the right"" and the future as ""to the left"". Participants are shown two pictures, and are then asked to indicate which picture happened first, either by pressing the RIGHT or LEFT key. We manipulate the key mappings across two conditions (e.g., RIGHT = earlier vs. RIGHT = later). Which of the following results would be inconsistent with the claim that spatial metaphors structure how we think about time?",Hebrew speakers are faster to respond when RIGHT = later.,Hebrew speakers are faster to respond when RIGHT = before.,Hebrew speakers are faster to respond when the mapping corresponds to the canonical way of describing time in their language.,,,,3,Hebrew speakers are faster to respond when RIGHT = later.,A.,Metaphor
The linguistic distributional hypothesis states that the degree of semantic similarity between two expressions can be modeled as a function of:,The similarity of the linguistic contexts in which they appear.,The degree to which both activate similar sensorimotor representations.,"The similarity of their phonology (also known as the ""iconicity bias""). ","The degree to which both rely on similar embodied metaphors (e.g., the vertical axis), regardless of whether those metaphors manifest directly in language.",,,4,The similarity of the linguistic contexts in which they appear.,A.,Distributional
What is one potential problem with the hypothesis that word meanings are a function of distributional regularities in word usage?,The symbol grounding problem,The problem of abstract concepts,The poverty of the stimulus,"The problem of the ""continuity of the speech stream""",The Gavagai problem,,5,The symbol grounding problem,A.,Distributional
"Consider the very simple corpus of sentences: ""Maurice likes dolphins""; ""Maurice likes plants""; ""Maurice befriends dolphins""; ""Maurice befriends plants""; ""Maurice fears sharks""; and ""Maurice hates sharks"". Which words does ""dolphin"" co-occur with (excluding ""dolphin"" itself)?","""Maurice"", ""likes"", and ""befriends""","""Maurice"", ""fears"", and ""plants""","""Maurice"", ""likes"", and ""plants""","""Maurice"", ""sharks"", and ""hates""",,,4,"""Maurice"", ""likes"", and ""befriends""",A.,Distributional
"Again, consider the same simple corpus of sentences: ""Maurice likes dolphins""; ""Maurice likes plants""; ""Maurice befriends dolphins""; ""Maurice befriends plants""; ""Maurice fears sharks""; and ""Maurice hates sharks"". If we represented each word as a count vector reflecting how many times it co-occurs with all the other words (i.e., in the same sentence), which of the following pairs of words would have the most similar vectors?","""Plants"" and ""dolphins""","""Plants"" and ""sharks""","""Hates"" and ""likes""","""Sharks"" and ""hates""","""Sharks"" and ""Maurice""",,5,"""Plants"" and ""dolphins""",A.,Distributional
Landauer & Dumais (1997) asked whether latent semantic analysis (LSA) could be used to model judgments about word relatedness. Which of the following best describes their results?,"On average, words rated as more related tended to be ""closer"" in LSA-space than words rated as less related.","On average, words rated as more related tended to be more ""distant"" in LSA-space than words rated as less related.",The LSA model dramatically out-performed human performance on the TOEFL synonym test.,The LSA model performed at chance on the TOEFL synonym test.,,,4,"On average, words rated as more related tended to be ""closer"" in LSA-space than words rated as less related.",A.,Distributional
"Performance on the ""MNPQ task"" is improved when:",The categories are made more semantically coherent with words the participants already know.,The categories are repeated at different intervals.,"The categories use conceptual metaphors, like TIME is SPACE.","The participants are untethered from ""grounded"" concepts, which often distract them from the task.",,,4,The categories are made more semantically coherent with words the participants already know.,A.,Distributional
"Like humans, models like GPT-3 show evidence of social biases.",TRUE,FALSE,,,,,2,TRUE,A.,Distributional
"Which of the following pieces of evidence is hardest to reconcile with the view that all linguistic knowledge comes from direct sensorimotor experience? (Note: some of these might simply be described as ""irrelevant"".)",Blind individuals perform similarly to sighted individuals in a task that involves assessing how likely two objects are to have the same color.,Lesions to the visual cortex are correlated with difficulty understanding words about vision.,Parts of the brain associated with executing motor actions receive more blood flow while reading words about those motor action.,Reading sentences about abstract concepts like time results in activation of parts of the brain associated with navigating space.,Applying TMS to the motor cortex facilitates comprehension of action words.,,5,Blind individuals perform similarly to sighted individuals in a task that involves assessing how likely two objects are to have the same color.,A.,Embodiment
Purely amodal accounts of cognition have a hard time overcoming:,The symbol grounding problem,The poverty of the stimulus,The challenge of nativism,The word segmentation problem,The problem of abstract concepts,The Gavagai problem,6,The symbol grounding problem,A.,Embodiment
"The ""argument from introspection"" for embodied accounts is best described as:","When we read language, it often feels like we are simulating the events it describes.","It is more efficient to use a single storage format (e.g., modal) than multiple formats (e.g., both modal and amodal).",Free-floating mental symbols must be tethered to something meaningful.,"We can understand abstract concepts, even though, by definition, they are impossible to perceive.",,,4,"When we read language, it often feels like we are simulating the events it describes.",A.,Embodiment
"Suppose we are interested in whether people simulate the implied shape of an object. Participants read sentences like ""The lobster was in the sea"" (e.g., a living creature) vs. ""The lobster was on the plate"" (e.g., a dish for dinner). Later, they are shown pictures of different objects, and are asked whether these pictures appeared in the sentences they read before. Some of these pictures match the orientation from before, while others don't. We measure subjects' d-prime (d'), a kind of measure of recall accuracy. What are the dependent and independent variables?",Dependent = d-prime; independent = match/mismatch,Independent = d-prime; dependent = match/mismatch,Dependent = reaction time; independent = match/mismatch,Independent = reaction time; dependent = match/mismatch,,,4,Dependent = d-prime; independent = match/mismatch,A.,Embodiment
"Suppose we are interested in whether people simulate the implied shape of an object. Participants read sentences like ""The lobster was in the sea"" (e.g., a living creature) vs. ""The lobster was on the plate"" (e.g., a dish for dinner). Later, they are shown pictures of different objects, and are asked whether these pictures appeared in the sentences they read before. Some of these pictures match the orientation from before, while others don't. We measure subjects' d-prime (d'), a kind of measure of recall accuracy. If people do simulate implied shape, what should we predict about this measure?","D-prime will be higher (i.e., better recall accuracy) when the picture shape matches the implied shape from the sentences.","D-prime will be lower (i.e., worse recall accuracy) when the picture shape matches the implied shape from the sentences.",D-prime will not change as a function of the match/mismatch manipulation.,People will read sentences faster when the picture shape matches the implied shape from the sentences.,People will read sentences more slowly when the picture shape matches the implied shape from the sentences.,,5,"D-prime will be higher (i.e., better recall accuracy) when the picture shape matches the implied shape from the sentences.",A.,Embodiment
"Consider the same experiment investigating the simulation of implied shape. If we did find evidence consistent with simulation, what could we conclude from this experimental design?","Some degree of simulation happens, but it's unclear whether it is necessary for comprehension.","Some degree of simulation happens, and it's necessary for comprehension.","Some degree of simulation happens, but the study demonstrates that it is purely epiphenomenal.",There's no evidence that simulation happens in this study. ,,,4,"Some degree of simulation happens, but it's unclear whether it is necessary for comprehension.",A.,Embodiment
"Now we run another study. Now, we want to know whether the degree of simulation is larger when the entity described is the subject or object of a sentence. Thus, some sentences have the entity as the subject (""The lobster was in the sea"", ""the lobster was on the plate""), and others have the entity as the object (""He caught the lobster"", ""He ate the lobster""). Which of the following would constitute an interaction between Grammatical Role (subject vs. object) and Match Condition (match vs. mismatch)?","People exhibit worse recall for mismatch items, but only when the entity is the subject of a sentence.",People exhibit worse recall for mismatch items in general; they also exhibit worse recall when the entity is the object of a sentence in general. ,"People exhibit worse recall for mismatch items, but there is no difference in recall accuracy as a function of Grammatical Role.",There is no effect of Grammatical Role or of Match Condition.,,,4,"People exhibit worse recall for mismatch items, but only when the entity is the subject of a sentence.",A.,Embodiment
"According to lecture, which of the following modalities is not associated with as much (or possibly any) embodied simulation?",Olfaction,Vision,Audition,"None: all studies have returned ""positive"" results on embodied simulation.",,,4,Olfaction,A.,Embodiment
Which of the following is not true of Nicaraguan Sign Language (NSL)?,"Signers in NSL are less likely to separate the ""manner"" and ""path"" of a motion event than Spanish-speaking gesturers.","Signers in NSL are more likely to separate the ""manner"" and ""path"" of a motion event than Spanish-speaking gesturers.",Later cohorts of NSL signers display more evidence of compositionality.,NSL developed from spontaneous interactions between deaf children with their own homesign systems.,,,4,"Signers in NSL are less likely to separate the ""manner"" and ""path"" of a motion event than Spanish-speaking gesturers.",A.,Origins
Children who are born deaf (without access to a conventionalized sign language) typically learn homesign through explicit maternal instruction.,FALSE,TRUE,,,,,2,FALSE,A.,Origins
"According to the cultural transmission view of human language, what is one ""linguistic analog"" for the biological units of selection (e.g., genes)?",Words and grammar,Sound change and semantic drift,Learnability and expressivity,"Teaching, learning, and imitation",,,4,Words and grammar,A.,Origins
"Compared to languages with more L2 speakers, languages with a very high proportion of L1 speakers are more likely to have case marking.",TRUE,FALSE,,,,,2,TRUE,A.,Origins
"In the bee ""waggle dance"", the angle of deviation appears to communicate information about the _____ of the nectar:",Direction,Distance,Quality,Smell,,,4,Direction,A.,Origins
"Based on our current knowledge, what is one way in which the Campbell's monkey alarm call is different from vervet alarm calls?",The Campbell's monkey alarm call displays some evidence of compositionality.,The vervet alarm call displays evidence of compositionality.,"The vervet alarm call is entirely learned, whereas the Campbell's monkey alarm call is entirely instinctive.","The Campbell's monkey alarm call is entirely learned, whereas the vervet alarm call is entirely instinctive.","The vervet alarm call is arbitrary, whereas the Campbell's monkey alarm call is iconic.","The Campbell's monkey alarm call is arbitrary, whereas the vervet alarm call is iconic.",6,The Campbell's monkey alarm call displays some evidence of compositionality.,A.,Origins
"According to some researchers, human linguistic knowledge is too rich to be fully explained by learning from direct evidence alone. This is known as the _________ argument, and is often used to support ________ accounts of language origins.",Poverty of the stimulus; nativist,Poverty of the stimulus; anti-nativist,Cultural transmission; nativist,Cultural transmission; anti-nativist,Joint attention; nativist,Joint attention; anti-nativist,6,Poverty of the stimulus; nativist,A.,Origins
"Suppose a new animal communication system is discovered. Animals in this community use signals to refer to other animals in the immediate environment. However, they are not born with knowledge of the communication system; they also appear to be able to combine signals to refer to new referents. The key limitation is they can't refer to things that aren't immediately co-present. Which design feature of human language does this system not clearly display?",Displacement,Learned,Compositionality,Referentiality,,,4,Displacement,A.,Origins
Which of the following pieces of evidence might force us to revise our estimate of when spoken language evolved?,Discovery of a 400K-year-old writing tablet.,Discovery that Homo erectus was able to use tools.,"The ability of bonobos to learn arbitrary, compositional communication systems in the lab. ",The discovery that songbird song systems are more complex than previously thought.,,,4,Discovery of a 400K-year-old writing tablet.,A.,Origins
"The ""poverty of the stimulus"" argument makes at least one specific empirical claim. What is this claim? (Note: an empirical claim is distinct from a theoretical premise or conclusion. It means something that can be tested and falsified with real-world data.)",Children learn things for which there is no direct evidence in their linguistic input.,Children rely on domain-general statistical learning rules to acquire linguistic knowledge.,Children are born with innate linguistic knowledge.,Children rely on embodied experience to map new words to sensorimotor representations.,,,4,Children learn things for which there is no direct evidence in their linguistic input.,A.,Origins
"Unlike some written languages like English, spoken language:","Forms a continuous ""speech stream"", making it hard to tell where one word ends and another begins.",Does not exhibit an arbitrary relationship between form and meaning.,Exhibits referentiality and abstraction.,"Clearly parates word boundaries, using devices like ""collateral interjections"".",,,4,"Forms a continuous ""speech stream"", making it hard to tell where one word ends and another begins.",A.,Learning
"Using two different speakers, a researcher plays infants a combination of real words in English that they've already heard, as well as ""part-words"" assembled out of other English syllables. According to the results of Saffran et al (1996), which stimuli should cause infants to look longer at a particular speaker, and why?","Infants should look longer at ""part-words"", because the transition probabilities between their syllables are lower.","Infants should look longer at ""part-words"", because the transition probabilities between their syllables are higher.","Infants should look longer at real words, because the transition probabilities between their syllables are lower.","Infants should look longer at real words, because the transition probabilities between their syllables are higher.",,,4,"Infants should look longer at ""part-words"", because the transition probabilities between their syllables are lower.",A.,Learning
Which of the following was not one of the mechanisms we discussed for segmenting words in the speech stream?,"Relying on learning biases like the ""whole-object bias"" and ""mutual exclusivity bias"".","Relying on phonotactic rules to identify which sequences are most likely to be ""legal"" words of the language.",Using transition probabilities to identify possible word boundaries.,"Using familiar words as ""anchors"" to carve up the speech stream (like the infant's own name).",,,4,"Relying on learning biases like the ""whole-object bias"" and ""mutual exclusivity bias"".",A.,Learning
"When learning new labels, there are many possible referents to which this label could refer. What is this problem sometimes called?",The Gavagai problem,The poverty of the stimulus,The word segmentation problem,The problem of abstract concepts,The challenge of nativism,,5,The Gavagai problem,A.,Learning
"Based on studies comparing human and animal learning of sequences, statistical learning is most likely:","A domain-general capacity, because animals do exhibit some evidence of statistical learning.","A domain-specific capacity, because animals do not exhibit statistical learning.","A domain-specific capacity, because animals do exhibit some evidence of statistical learning.","A domain-general capacity, because animals do not exhibit statistical learning.","An innate capacity, because computational models like GPT-3 do not display evidence of statistical learning.",,5,"A domain-general capacity, because animals do exhibit some evidence of statistical learning.",A.,Learning
"Word learning is driven by biases like ""whole-object"" bias, but is not subject to social biases like the perceived reliability of the speaker.",FALSE,TRUE,,,,,2,FALSE,A.,Learning
"The basic ""meaningful units"" in a language system are called:",Morphemes,Words,Sentences,Phonemes,Turns,,5,Morphemes,A.,Learning
"Which human learning bias is the phenomenon of ""fast mapping"" in dogs most closely associated with?",Mutual exclusivity bias,Whole-object bias,Speaker reliability bias,Iconicity bias,Morphology bias,,5,Mutual exclusivity bias,A.,Learning
Which of the following words contains a derivational affix?,Baker,Tables,Kicked,Baby,,,4,Baker,A.,Learning
What is one challenge to the purely rule-based account of morphology?,Children are able to learn irregular verbs.,"Children seem to generalize morphemes to new words they haven't seen before (e.g., ""wug"" + ""s"" = ""wugs"").","Many aspects of morphology can be described in terms of formal rules, almost like a computer program.","During language learning, children sometimes ""over-regularize"" certain verbs (e.g., they conjugate the past tense of ""go"" as ""goed"").",,,4,Children are able to learn irregular verbs.,A.,Learning
"In English, many words beginning with ""gl-"" have meanings relating to LIGHT or VISION. This appears to violate the principle of:",Arbitrariness,Compositionality,Phonaesthemes,Sound symbolism,,,4,Arbitrariness,A.,Iconicity
"According to research discussed in class, iconic words are:",More likely to be learned earlier during development.,"Extremely common, e.g., more than ~95% of the lexicon.",Harder to learn than arbitrary words.,Better suited to conveying abstract concepts than arbitrary words.,,,4,More likely to be learned earlier during development.,A.,Iconicity
"According to research discussed in class, iconic communication systems:",Display less flexibility than arbitrary communication systems.,Help scaffold our understanding of abstract concepts.,"to emerge out of more arbitrary communication systems, i.e., there is a ""drift towards iconicity"".",,,,3,Display less flexibility than arbitrary communication systems.,A.,Iconicity
Words referring to abstract concepts are not particularly common.,FALSE,TRUE,,,,,2,FALSE,A.,Iconicity
